"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 16:41:00 CST 2026","Tue Mar 03 16:41:00 CST 2026","51","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_credit_appeal[TC-CREDIT-011_\u7533\u8bc9ID\u4e0d\u5b58\u5728]","测试提交信用申诉接口的各种场景"
"passed","Tue Mar 03 16:40:50 CST 2026","Tue Mar 03 16:40:50 CST 2026","90","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-025_\u64cd\u4f5c\u4e0d\u5b58\u5728\u7684\u7533\u8bc9]","测试管理员审核申诉的各种场景"
"failed","Tue Mar 03 16:42:02 CST 2026","Tue Mar 03 16:42:02 CST 2026","45","testcase.test_product","test_product_api","TestProductAPI","","","test_product_detail[TC-PROD-011_\u5546\u54c1\u4e0d\u5b58\u5728]","测试获取商品详情接口的各种场景"
"passed","Tue Mar 03 16:42:01 CST 2026","Tue Mar 03 16:42:01 CST 2026","73","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-007_\u5e93\u5b58\u4e3a\u7a7a]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 16:42:21 CST 2026","Tue Mar 03 16:42:21 CST 2026","25","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-029_\u7f3a\u5c11\u7167\u7247]","测试密码重置申请接口的各种场景"
"passed","Tue Mar 03 16:42:21 CST 2026","Tue Mar 03 16:42:21 CST 2026","33","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-027_\u5b66\u53f7\u4e3a\u7a7a]","测试密码重置申请接口的各种场景"
"failed","Tue Mar 03 16:41:51 CST 2026","Tue Mar 03 16:41:59 CST 2026","8280","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-008_\u672a\u8d2d\u4e70\u7528\u6237]","测试提交商品评价接口的各种场景"
"passed","Tue Mar 03 16:42:01 CST 2026","Tue Mar 03 16:42:01 CST 2026","65","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_withdraw[TC-FIN-010_\u91d1\u989d\u5c0f\u4e8e0.01]","测试用户提现接口的各种场景"
"passed","Tue Mar 03 16:42:00 CST 2026","Tue Mar 03 16:42:00 CST 2026","87","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-004_\u91d1\u989d\u5927\u4e8e9999]","测试用户充值接口的各种场景"
"passed","Tue Mar 03 16:40:42 CST 2026","Tue Mar 03 16:40:42 CST 2026","177","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-011_\u62d2\u7edd\u5546\u54c1]","测试管理员审核商品的各种场景"
"passed","Tue Mar 03 16:41:59 CST 2026","Tue Mar 03 16:42:00 CST 2026","232","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-001_\u5145\u503c\u6210\u529f]","测试用户充值接口的各种场景"
"passed","Tue Mar 03 16:40:44 CST 2026","Tue Mar 03 16:40:44 CST 2026","88","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-003_wish_id\u4e3a\u7a7a]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 16:42:06 CST 2026","Tue Mar 03 16:42:07 CST 2026","467","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-018_\u5f85\u5ba1\u6838\u5546\u54c1\u7b5b\u9009]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 16:40:43 CST 2026","Tue Mar 03 16:40:43 CST 2026","164","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-004_\u975e\u7ba1\u7406\u5458\u8bbf\u95ee\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
"passed","Tue Mar 03 16:42:06 CST 2026","Tue Mar 03 16:42:06 CST 2026","454","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-017_\u6210\u529f\u83b7\u53d6]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 16:42:01 CST 2026","Tue Mar 03 16:42:01 CST 2026","66","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_withdraw[TC-FIN-009_\u91d1\u989d\u5927\u4e8e\u4f59\u989d]","测试用户提现接口的各种场景"
"passed","Tue Mar 03 16:42:15 CST 2026","Tue Mar 03 16:42:15 CST 2026","34","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-004_\u8eab\u4efd\u5b57\u6bb5\u503c\u4e3a\u7a7a]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 16:40:41 CST 2026","Tue Mar 03 16:40:41 CST 2026","93","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_list[TC-ADMIN-001_\u83b7\u53d6\u5f85\u5ba1\u6838\u5546\u54c1\u5217\u8868]","测试管理员获取商品管理数据"
"passed","Tue Mar 03 16:40:42 CST 2026","Tue Mar 03 16:40:43 CST 2026","164","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-001_\u83b7\u53d6\u672a\u5ba1\u6838\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
"passed","Tue Mar 03 16:40:41 CST 2026","Tue Mar 03 16:40:41 CST 2026","105","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_list[TC-ADMIN-002_\u83b7\u53d6\u5df2\u5ba1\u6838\u5546\u54c1\u5217\u8868]","测试管理员获取商品管理数据"
"passed","Tue Mar 03 16:40:43 CST 2026","Tue Mar 03 16:40:43 CST 2026","169","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-002_\u83b7\u53d6\u5df2\u901a\u8fc7\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
"passed","Tue Mar 03 16:42:18 CST 2026","Tue Mar 03 16:42:18 CST 2026","57","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-016_\u5bc6\u7801\u4e0d\u4e00\u81f4]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 16:42:24 CST 2026","Tue Mar 03 16:42:24 CST 2026","176","testcase.test_wish","test_wish_api","TestWishAPI","","","test_my_wishes[TC-WISH-006_\u6210\u529f\u83b7\u53d6]","测试获取我的心愿列表接口"
"failed","Tue Mar 03 16:40:44 CST 2026","Tue Mar 03 16:40:44 CST 2026","88","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-005_\u62d2\u7edd\u65f6\u65e0\u539f\u56e0]","测试管理员审核心愿的各种场景"
"passed","Tue Mar 03 16:42:00 CST 2026","Tue Mar 03 16:42:00 CST 2026","165","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-003_\u91d1\u989d\u5c0f\u4e8e0.01]","测试用户充值接口的各种场景"
"passed","Tue Mar 03 16:41:18 CST 2026","Tue Mar 03 16:41:26 CST 2026","8408","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-003_\u5dee\u8bc4\u65e0\u8bc1\u636e]","测试提交商品评价接口的各种场景"
"passed","Tue Mar 03 16:42:09 CST 2026","Tue Mar 03 16:42:10 CST 2026","529","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-022_\u65e0\u6548\u72b6\u6001\u53c2\u6570]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 16:42:18 CST 2026","Tue Mar 03 16:42:18 CST 2026","33","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-017_\u7f3a\u5c11\u7167\u7247]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 16:42:00 CST 2026","Tue Mar 03 16:42:00 CST 2026","88","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_recharge[TC-FIN-006_\u672a\u767b\u5f55\u7528\u6237]","测试用户充值接口的各种场景"
"failed","Tue Mar 03 16:40:37 CST 2026","Tue Mar 03 16:40:37 CST 2026","83","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_manage[TC-ADMIN-003_\u7b5b\u9009\u5df2\u5ba1\u6838]","测试管理员获取用户列表的各种场景"
"passed","Tue Mar 03 16:40:47 CST 2026","Tue Mar 03 16:40:48 CST 2026","576","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-020_\u901a\u8fc7\u7533\u8bc9]","测试管理员审核申诉的各种场景"
"passed","Tue Mar 03 16:42:02 CST 2026","Tue Mar 03 16:42:02 CST 2026","56","testcase.test_product","test_product_api","TestProductAPI","","","test_product_detail[TC-PROD-010_\u516c\u5f00\u8bbf\u95ee]","测试获取商品详情接口的各种场景"
"passed","Tue Mar 03 16:42:11 CST 2026","Tue Mar 03 16:42:11 CST 2026","141","testcase.test_product","test_product_api","TestProductAPI","","","test_bought_products[TC-PROD-020_\u6210\u529f\u83b7\u53d6]","测试获取我购买的商品列表接口"
"passed","Tue Mar 03 16:40:42 CST 2026","Tue Mar 03 16:40:42 CST 2026","61","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-013_product_id\u4e3a\u7a7a]","测试管理员审核商品的各种场景"
"passed","Tue Mar 03 16:42:08 CST 2026","Tue Mar 03 16:42:09 CST 2026","551","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-020_\u5df2\u4e0b\u67b6\u5546\u54c1\u7b5b\u9009]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 16:42:18 CST 2026","Tue Mar 03 16:42:18 CST 2026","259","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-021_\u6587\u4ef6\u8fc7\u5927]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 16:40:45 CST 2026","Tue Mar 03 16:40:46 CST 2026","459","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-3_\u83b7\u53d6\u5df2\u63d0\u4ea4\u7533\u8bc9\u5217\u8868]","测试管理员获取申诉管理数据"
"passed","Tue Mar 03 16:41:43 CST 2026","Tue Mar 03 16:41:51 CST 2026","8127","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-006_service_attitude\u4e3a\u7a7a]","测试提交商品评价接口的各种场景"
"failed","Tue Mar 03 16:42:04 CST 2026","Tue Mar 03 16:42:05 CST 2026","1450","testcase.test_product","test_product_api","TestProductAPI","","","test_purchase_product[TC-PROD-015_\u672a\u767b\u5f55\u7528\u6237]","测试购买商品接口的各种场景"
"passed","Tue Mar 03 16:42:23 CST 2026","Tue Mar 03 16:42:24 CST 2026","957","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-005_\u6743\u9650\u9a8c\u8bc1]","测试创建心愿接口的各种场景"
"passed","Tue Mar 03 16:42:12 CST 2026","Tue Mar 03 16:42:14 CST 2026","2109","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-002_\u7ba1\u7406\u5458\u6210\u529f\u767b\u5f55]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 16:42:01 CST 2026","Tue Mar 03 16:42:01 CST 2026","112","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-001_\u53d1\u5e03\u6210\u529f]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 16:42:01 CST 2026","Tue Mar 03 16:42:01 CST 2026","102","testcase.test_product","test_product_api","TestProductAPI","","","test_create_product[TC-PROD-005_\u65b0\u65e7\u7a0b\u5ea6\u4e3a\u7a7a]","测试创建商品接口的各种场景"
"passed","Tue Mar 03 16:42:00 CST 2026","Tue Mar 03 16:42:01 CST 2026","71","testcase.test_finance","test_finance_api","TestFinanceAPI","","","test_withdraw[TC-FIN-008_\u63d0\u73b0\u91d1\u989d\u4e3a\u7a7a]","测试用户提现接口的各种场景"
"passed","Tue Mar 03 16:42:17 CST 2026","Tue Mar 03 16:42:17 CST 2026","39","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-013_\u7528\u6237\u540d\u4e3a\u7a7a]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 16:42:15 CST 2026","Tue Mar 03 16:42:15 CST 2026","32","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-007_\u8eab\u4efd\u65e0\u6548]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 16:40:49 CST 2026","Tue Mar 03 16:40:50 CST 2026","705","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-024_response_content\u4e3a\u7a7a]","测试管理员审核申诉的各种场景"
"passed","Tue Mar 03 16:40:53 CST 2026","Tue Mar 03 16:40:53 CST 2026","60","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_submit_appeal[TC-APPEAL-003_\u8bc4\u4ef7\u4e0d\u5b58\u5728]","测试提交评价申诉接口的各种场景"
"broken","Tue Mar 03 16:40:38 CST 2026","Tue Mar 03 16:40:40 CST 2026","1903","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_manage[TC-ADMIN-004_\u975e\u7ba1\u7406\u5458\u8bbf\u95ee]","测试管理员获取用户列表的各种场景"
"passed","Tue Mar 03 16:40:49 CST 2026","Tue Mar 03 16:40:49 CST 2026","426","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-023_action\u4e3a\u7a7a]","测试管理员审核申诉的各种场景"
"failed","Tue Mar 03 16:42:21 CST 2026","Tue Mar 03 16:42:22 CST 2026","940","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-001_\u521b\u5efa\u6210\u529f]","测试创建心愿接口的各种场景"
"failed","Tue Mar 03 16:40:54 CST 2026","Tue Mar 03 16:40:54 CST 2026","82","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_appeal_detail[TC-APPEAL-005_\u6210\u529f\u83b7\u53d6]","测试获取申诉详情接口"
"passed","Tue Mar 03 16:42:16 CST 2026","Tue Mar 03 16:42:16 CST 2026","27","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-010_\u65e0\u53c2]","测试用户登录接口的各种场景"
"failed","Tue Mar 03 16:42:03 CST 2026","Tue Mar 03 16:42:04 CST 2026","246","testcase.test_product","test_product_api","TestProductAPI","","","test_purchase_product[TC-PROD-013_\u8d2d\u4e70\u81ea\u5df1\u5546\u54c1]","测试购买商品接口的各种场景"
"passed","Tue Mar 03 16:42:21 CST 2026","Tue Mar 03 16:42:21 CST 2026","31","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-030_\u5bc6\u7801\u4e3a\u7a7a]","测试密码重置申请接口的各种场景"
"passed","Tue Mar 03 16:42:23 CST 2026","Tue Mar 03 16:42:23 CST 2026","62","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-002_\u6807\u9898\u4e3a\u7a7a]","测试创建心愿接口的各种场景"
"passed","Tue Mar 03 16:41:00 CST 2026","Tue Mar 03 16:41:00 CST 2026","127","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_credit_appeal[TC-CREDIT-010_\u7533\u8bc9\u5185\u5bb9\u4e3a\u7a7a]","测试提交信用申诉接口的各种场景"
"passed","Tue Mar 03 16:40:42 CST 2026","Tue Mar 03 16:40:42 CST 2026","180","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_product_audit[TC-ADMIN-012_\u4e0b\u67b6\u5546\u54c1]","测试管理员审核商品的各种场景"
"passed","Tue Mar 03 16:40:46 CST 2026","Tue Mar 03 16:40:47 CST 2026","439","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-5_\u9a8c\u8bc1\u8bc1\u636e\u7167\u7247\u6570\u636e\u7ed3\u6784]","测试管理员获取申诉管理数据"
"passed","Tue Mar 03 16:42:23 CST 2026","Tue Mar 03 16:42:23 CST 2026","57","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-003_\u63cf\u8ff0\u4e3a\u7a7a]","测试创建心愿接口的各种场景"
"passed","Tue Mar 03 16:42:15 CST 2026","Tue Mar 03 16:42:15 CST 2026","26","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-005_\u7528\u6237\u540d\u5b57\u6bb5\u503c\u4e3a\u7a7a]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 16:40:55 CST 2026","Tue Mar 03 16:40:55 CST 2026","45","testcase.test_base","test_base_api","TestBaseAPI","","","test_csrf_token[TC-BASE-001_\u6b63\u5e38\u83b7\u53d6Token]","测试获取CSRF Token接口的各种场景"
"failed","Tue Mar 03 16:42:10 CST 2026","Tue Mar 03 16:42:10 CST 2026","550","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-023_\u672a\u767b\u5f55\u7528\u6237]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 16:40:54 CST 2026","Tue Mar 03 16:40:55 CST 2026","751","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_negative_evaluations[TC-APPEAL-006_\u6210\u529f\u83b7\u53d6]","测试获取卖家负面评价列表"
"passed","Tue Mar 03 16:42:18 CST 2026","Tue Mar 03 16:42:18 CST 2026","61","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-015_\u786e\u8ba4\u5bc6\u7801\u4e3a\u7a7a]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 16:40:56 CST 2026","Tue Mar 03 16:40:57 CST 2026","1157","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_get_credit_score[TC-CREDIT-002_\u672a\u767b\u5f55\u7528\u6237]","测试获取信用分接口的各种场景"
"passed","Tue Mar 03 16:40:52 CST 2026","Tue Mar 03 16:40:53 CST 2026","788","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_submit_appeal[TC-APPEAL-002_\u7533\u8bc9\u5185\u5bb9\u4e3a\u7a7a]","测试提交评价申诉接口的各种场景"
"passed","Tue Mar 03 16:40:43 CST 2026","Tue Mar 03 16:40:44 CST 2026","273","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_audit[TC-WISH-MANAGE-002_\u62d2\u7edd\u5fc3\u613f]","测试管理员审核心愿的各种场景"
